"name","slug","post_body","meta_description","id","editLink"
"How do I edit my Leadin Popup Form?","knowledge/how-do-i-edit-my-leadin-popup-form","<ol><li>Navigate to <strong>Settings &gt; Popup Form</strong></li><li>Change 'Show the popup on' to either 'All pages' or 'Only the following templates' (if you are using&nbsp;WordPress) or 'Only pages with a URL containing' (if you are using the&nbsp;Leadin Web App).</li><li>Click <strong>Save Settings</strong>&nbsp;at the bottom of the page</li></ol><!--more--><p><img alt=""enable-popup.png"" src=""http://cdn2.hubspot.net/hubfs/324680/Knowledge_Base_Images/popup_form/enable-popup.png"" title=""enable-popup.png"" width=""1484"" data-constrained=""true"" style=""width: 1484px; display: block; margin-left: auto; margin-right: auto;""></p><p>Under the popup form options, you can configure almost every aspect of your popup form.</p><h3 id=""popup-targeting"">Popup targeting&nbsp;</h3><p><img src=""http://cdn2.hubspot.net/hubfs/324680/Knowledge_Base_Images/popup_form/popup-target.png"" alt=""popup-target.png"" title=""popup-target.png"" width=""608"" height=""305"" style=""display: block; margin-left: auto; margin-right: auto;""></p><p>From here you can configure your&nbsp;Leadin Popup Form to appear on no pages (disabling the popup), all pages or on pages with a URL containing certain text. In this example the popup form will appear on any page where the URL contains '/blog' or '/products'. This would include 'website.com/blog/my-blog-post' and and 'website.com/products/product-number-one' but would not include 'website.com/contact'. If you are using the&nbsp;Leadin&nbsp;WordPress plugin, this option will be replaced with the option to target certain page templates provided&nbsp;by your&nbsp;WordPress Theme.</p><h3 id=""popup-triggers"">Popup triggers</h3><p><img src=""http://cdn2.hubspot.net/hubfs/324680/Knowledge_Base_Images/popup_form/popup-triggers.png"" alt=""popup-triggers.png"" title=""popup-triggers.png"" width=""604"" height=""123"" style=""display: block; margin-left: auto; margin-right: auto;""></p><p>This setting allows you to choose what user interaction will trigger the popup form. Page scroll will trigger the moment your visitor scrolls 50% down your page. Elapsed time simply triggers the moment X seconds have past. Exit intent allows you to trigger the popup form when the visitor's mouse exits the their browser window (for example, when they're about to close the browser tab). Exit intent can be very effective when paired with the 'Page overlay' popup location.</p><h3 id=""popup-location"">Popup location &amp; language</h3><p><img src=""http://cdn2.hubspot.net/hubfs/324680/Knowledge_Base_Images/popup_form/popup-location-language.png"" alt=""popup-location-language.png"" title=""popup-location-language.png"" width=""604"" height=""155"" style=""display: block; margin-left: auto; margin-right: auto;""></p><p>Next up, we can change the location of our popup to appear in four different positions, bottom right, bottom left, top banner and page overlay. Each has their own advantages depending on what you're using your&nbsp;Leadin Popup Form to achieve. We recommend experimenting with different locations to see which works best for you.&nbsp;</p><p>Popup language allows you to change the language&nbsp;of the non-editable&nbsp;parts of the popup, including the form field labels. Currently it is possible to translate these parts of the form to&nbsp;French, Spanish, Japanese, German and Brazilian Portuguese. Looking for a language that's&nbsp;not listed? <a href=""http://leadin.hubspot.com/knowledge#contact_form"" target=""_blank"">Let us know</a>.</p><h3 id=""popup-content"">Popup content</h3><p><img src=""http://cdn2.hubspot.net/hubfs/324680/Knowledge_Base_Images/popup_form/popup-content.png"" alt=""popup-content.png"" title=""popup-content.png"" width=""602"" height=""511"" style=""display: block; margin-left: auto; margin-right: auto;""></p><p>The meat and bones of your popup form. This section allows you to edit the header, description, image and button text, along with adding a customized thank you message that your contacts will see when they submit the form. Try adding a secondary call-to-action like following your company on twitter!&nbsp;</p><h3 id=""colors"">Popup colors</h3><p><img src=""http://cdn2.hubspot.net/hubfs/324680/Knowledge_Base_Images/popup_form/popup-colors.png"" alt=""popup-colors.png"" title=""popup-colors.png"" width=""607"" height=""189"" style=""display: block; margin-left: auto; margin-right: auto;""></p><p>By default&nbsp;Leadin will include 6 standard colors, but why not set a custom color that matches your brand? When you install&nbsp;Leadin it will scan your homepage for the 6 most dominant colors on your site for you to chose from. You'll find these listed under 'Colors from your site'.</p><h3 id=""popup-other-options"">Other options</h3><p><img src=""http://cdn2.hubspot.net/hubfs/324680/Knowledge_Base_Images/popup_form/popup-other-settings.png"" alt=""popup-other-settings.png"" title=""popup-other-settings.png"" width=""605"" height=""452"" style=""display: block; margin-left: auto; margin-right: auto;""></p><p>Some additional&nbsp;settings include the ability to set a Redirect URL, include fields for first/last name and phone number, disable or enable the popup form for those visiting your website on a mobile device and preview functionality. If you set a Redirect URL&nbsp;Leadin will automatically open this URL in a new tab in the contact's browser as soon as they submit the form.&nbsp;</p><p>IMPORTANT: The popup preview option will open a new tab in your browser and display&nbsp;the&nbsp;Leadin Popup Form immediately, with any changes you have made. This preview will not wait for the triggers you have set, it will display&nbsp;the popup form straight&nbsp;away so you can confirm any changes you've made. Be sure to come back and click Save Settings when you're done.</p><p>Here's how the popup form looks, as an example:</p><p><img src=""http://cdn2.hubspot.net/hubfs/324680/Knowledge_Base_Images/popup_form/popup-example.png"" alt=""popup-example.png"" title=""popup-example.png"" width=""640"" style=""width: 640px; display: block; margin-left: auto; margin-right: auto;""></p><ol><li>Navigate to <strong>Settings &gt; Popup Form</strong></li><li>Change 'Show the popup on' to <strong>No pages</strong></li><li>Click <strong>Save Settings</strong>&nbsp;at the bottom of the page</li></ol><p><img alt=""disable-popup.png"" src=""http://cdn2.hubspot.net/hubfs/324680/Knowledge_Base_Images/popup_form/disable-popup.png"" title=""disable-popup.png"" width=""1484"" data-constrained=""true"" style=""width: 1484px; display: block; margin-left: auto; margin-right: auto;""></p>","Configure your Leadin Popup Form from within Settings > Popup Form",3506203409,"https://app.hubspot.com/content/324680/edit-beta/3506203409"
"How do I merge forms in Leadin?","knowledge/how-do-i-merge-forms-in-leadin","<p>Leadin identifies forms based on the unique CSS selector of the form on your site. You may find that Leadin identifies what it considers to be two unique forms, but to you and your team, they are actually the same form. It is now possible to merge forms together inside Leadin and have both these unique forms on your site become one form in Leadin.</p><!--more--><ol><li>Navigate to the form you wish to merge</li><li>Click <strong>Merge Form</strong><figure><img alt=""merge_form_1.png"" src=""http://cdn2.hubspot.net/hubfs/324680/Knowledge_Base_Images/forms/merge_form_1.png"" title=""merge_form_1.png"" width=""1557"" data-constrained=""true"" style=""width: 1557px;""></figure></li><li>Choose the form you which to merge this form into</li><li>Check the confirmation box to confirm you understand this cannot be reversed</li><li>Click <strong>Merge</strong><figure><img alt=""merge_form_2.png"" src=""http://cdn2.hubspot.net/hubfs/324680/Knowledge_Base_Images/forms/merge_form_2.png"" title=""merge_form_2.png"" width=""1557"" data-constrained=""true"" style=""width: 1557px;""></figure></li></ol><p>You should now find that the contacts from your initial list have been merged into your chosen form, going forward any news submissions on your old form will be found inside your chosen form.</p><figure><img src=""http://cdn2.hubspot.net/hubfs/324680/Knowledge_Base_Images/forms/merge_form_3.png"" alt=""merge_form_3.png"" title=""merge_form_3.png"" width=""1557"" style=""width: 1557px; display: block; margin-left: auto; margin-right: auto;"" data-constrained=""true""></figure><p><strong>IMPORTANT:&nbsp;</strong>When you merge a form, your contacts will become a member of the form you chose in step 3, along with any future submissions on the original form. In addition, the old form will inherit the settings from your chosen form for your notification email and connected email lists.</p>","Leadin identifies forms based on the unique CSS selector of the form on your site. You may find that Leadin identifies what it considers to be two unique forms, but to you and your team, they are actually the same form. It is now possible to merge forms together inside Leadin and have both these unique forms on your site become one form in Leadin.",3565808453,"https://app.hubspot.com/content/324680/edit-beta/3565808453"
"Your Blog Post Title Here...","knowledge/-temporary-slug-0244511c-7927-496c-b1ac-0a3c84f52e78",,,3956095356,"https://app.hubspot.com/content/324680/edit-beta/3956095356"
"How do I use the Collected Forms tool?","knowledge/collected-forms","<p>In addition to <a href=""/lead-flows"" target=""_blank"">lead flows</a>,&nbsp;Leadin's collected forms tool collects submissions on your website's existing forms, making it possible to consolidate all your leads into your&nbsp;Leadin contacts database regardless of which form your visitors submit on your website.</p><!--more--><p>Collected forms is&nbsp;enabled by default in&nbsp;Leadin, meaning you should begin to see leads generated in your account as soon as&nbsp;<a href=""/knowledge/how-do-i-install-the-leadin-tracking-code-on-my-website"" target=""_blank"">Leadin is installed</a>. You can manage all your collected forms via 'Collected Forms' in the navigation in&nbsp;Leadin.&nbsp;</p><p><img src=""http://cdn2.hubspot.net/hubfs/324680/Knowledge_Base_Images/form_capture/collected-forms-dash.png"" alt=""collected-forms-dash.png"" width=""640"" style=""display: block; margin-left: auto; margin-right: auto; width: 640px;""></p><h3>How do I enable or disable collected forms?</h3><p>Within collected forms in&nbsp;Leadin you should find an on/off switch in the top-right, as shown here:</p><p><img src=""http://cdn2.hubspot.net/hubfs/324680/Knowledge_Base_Images/form_capture/collected-forms-on-off.png"" alt=""collected-forms-on-off.png"" width=""320"" style=""width: 320px; display: block; margin-left: auto; margin-right: auto;""></p><p>Once enabled,&nbsp;Leadin will automatically start collecting submissions on your website as soon as submissions occur. When disabled,&nbsp;Leadin will no longer collect submissions on your own website forms, however all your lead flows will continue to generate submissions, as these are separate tools.</p><h3>What information can I see for a collected form?</h3><p>Leadin currently provides the following informaiton for each collected form in the sidebar of each form:&nbsp;</p><ul><li>URL of the most recent page&nbsp;Leadin collected a submission on<ul><li>If a form exists on multiple pages,&nbsp;Leadin will show the most recent URL here</li></ul></li><li>Date&nbsp;Leadin first collected a submission on this form</li><li>The CSS selector for this form<ul><li>Leadin uniquely identifies each form based on the CSS selector of the form itself. By default the form will be named by it's CSS selector but you can rename the form and find the original selector here</li></ul></li></ul><p>To learn a little more about how this technically works, <a href=""http://leadin.hubspot.com/knowledge/how-does-leadin-capture-form-submissions"" target=""_blank"">check out this artice</a>.</p><h3>What kind of forms can Leadin collect&nbsp;submissions on?</h3><p>Provided your form is a static HTML form, wrapped in a HTML <code>&lt;form&gt;</code> tag and not contained inside an <code>&lt;iframe&gt;</code>, Leadin should be able to capture the submissions. &nbsp;</p><p>Some common reasons why Leadin <strong>would not be able</strong> to capture submissions on forms:</p><ul><li>Form not enclosed in <code>&lt;form&gt;</code> tags</li><li>Form contained inside an <code>&lt;iframe&gt;</code></li><li>Form has&nbsp;JavaScript bound to form submit event or submit button click event<ul><li>This is how Leadin captures submissions, and any other events can prevent Leadin from knowing when submissions occur</li></ul></li><li>Form was introduced after the page completed loading<ul><li>Leadin scans the page as soon as it loads and listens to submissions on forms that were present at that point</li></ul></li><li>Form contained a sensitive field, such as credit card</li></ul><h3>Which form builders/plugins can I use with&nbsp;Leadin?</h3><p>While&nbsp;Leadin can collect submissions on most forms, there are some which&nbsp;Leadin cannot collect submissions on due to the reasons above. Of those that we've tested, below are a list of those that are supported and those that are unsupported. If you do not see your form builder/plugin here, <a href=""http://leadin.hubspot.com/knowledge#contact_form"" target=""_blank"">reach out to us</a> and we can confirm if it will or will not work with&nbsp;Leadin.</p><table style=""border-color: #000000; margin-left: auto; margin-right: auto;""><tbody><tr><td><h4 style=""text-align: center;""><span style=""font-size: 16px; font-weight: normal; letter-spacing: normal;"">Supported</span></h4></td><td><h4 style=""text-align: center;""><span style=""font-size: 16px; font-weight: normal; letter-spacing: normal;"">Unsupported</span></h4></td></tr><tr><td><ul><li><span color=""#555555"">Contact Form 7</span></li><li><span color=""#555555"">JetPack</span></li><li><span color=""#555555"">Fast Secure Contact Form</span></li><li><span color=""#555555"">Contact Form</span></li><li><span color=""#555555"">Gravity Forms</span></li><li><span color=""#555555"">Formidable</span></li><li><span color=""#555555"">Ninja Forms (&lt; v3.0)</span></li><li><span color=""#555555"">Contact Form Clean and Simple</span></li><li><span color=""#555555"">Quform</span></li><li><a href=""https://wordpress.org/plugins/wpgform/"" rel=""nofollow"" target=""_blank""><span color=""#555555"">Google Forms</span></a></li><li><span color=""#555555"">MailChimp embeddable forms</span></li><li><span color=""#555555"">Native WordPress comment forms</span></li><li><span color=""#555555"">Most custom forms</span></li></ul></td><td><ul><li><span color=""#555555"">Wufoo</span></li><li><span color=""#555555"">WooCommerce</span></li><li><span color=""#555555"">Easy Contact Forms</span></li><li><span color=""#555555"">Disqus comments</span></li><li><span color=""#555555"">Jetpack comment forms</span></li><li><span color=""#555555"">JotForm</span></li><li><span color=""#555555"">SumoMe</span></li><li><span color=""#555555"">Ninja Popups</span></li><li><span color=""#555555"">Ninja Forms (v3.0+)</span></li><li><span color=""#555555"">Forms contained in an iFrame</span></li><li><span color=""#555555"">Optinmonster</span></li><li><span color=""#555555"">FormCraft</span></li><li><span color=""#555555"">cVita</span></li><li><span color=""#555555"">Typeform</span></li><li>Caldera<span color=""#555555""></span></li><li><span color=""#555555""><a href=""https://wordpress.org/plugins/form-maker/"" rel=""nofollow"" target=""_blank"">Form Maker</a></span></li></ul></td></tr></tbody></table>","As soon as Leadin is installed on your website, it can immediately capture submissions on the existing forms on your website, no additional setup required. Leadin can capture submissions on almost all forms, provided they follow standard HTML form common practices. ",3701213980,"https://app.hubspot.com/content/324680/edit-beta/3701213980"
"How do I update my Leadin WordPress plugin?","knowledge/how-do-i-update-my-leadin-wordpress-plugin","<p>If your&nbsp;Leadin&nbsp;WordPress plugin is out of date, follow these steps to get updated and take advantage of all the newest features and fixes.</p><!--more--><ol><li>Head on over to your&nbsp;WordPress admin and click 'Plugins' in your&nbsp;WordPress side menu.</li><li>Click 'Update now' under&nbsp;Leadin in your list of plugins.</li></ol><p><img src=""http://cdn2.hubspot.net/hubfs/324680/Knowledge_Base_Images/wordpress_plugin/update_wordpress_plugin.png"" width=""1024"" data-constrained=""true"" style=""width: 1024px; display: block; margin-left: auto; margin-right: auto;"" alt=""update_wordpress_plugin.png"" title=""update_wordpress_plugin.png""></p><p>Some much older versions may not prompt you to update in this way. If you do not see an update available, but you are on an older version of&nbsp;Leadin, <a href=""/knowledge/how-do-i-install-leadin-on-my-wordpress-website"" target=""_blank"">check out this article</a> to learn how to install a fresh version of the&nbsp;plugin. You'll need to deactivate and delete the version you're currently using.</p>","If your Leadin WordPress plugin is out of date, follow these steps to get updated and take advantage of all the newest features and fixes.",3705739690,"https://app.hubspot.com/content/324680/edit-beta/3705739690"
"How do I install Leadin on my WordPress website?","knowledge/how-do-i-install-leadin-on-my-wordpress-website","<p>In your web browser, navigate to <a href=""/get-started?app=wp"" target=""_blank"">leadin.hubspot.com/get-started</a>. Fill out the form and a download of the Leadin WordPress plugin should automatically begin. If this doesn't happen automatically, choose the ""<strong>Click here</strong>"" link to force the download.</p><!--more--><p>Now that you've downloaded the plugin, you'll want to navigate and log into your&nbsp;WordPress admin. Next, go to <strong>Plugins &gt; Add New.</strong></p><p><strong><img src=""http://cdn2.hubspot.net/hubfs/324680/Knowledge_Base_Images/wordpress_plugin/plugins-add-new.png"" alt=""plugins-add-new.png"" title=""plugins-add-new.png"" width=""1024"" style=""display: block; margin-left: auto; margin-right: auto; width: 1024px;""></strong></p><p>From the&nbsp;<strong>Add Plugins</strong> page, click on <strong>Upload Plugin&nbsp;</strong>at the top.</p><p><img src=""http://cdn2.hubspot.net/hubfs/324680/Knowledge_Base_Images/wordpress_plugin/plugins-upload-plugin.png"" alt=""plugins-upload-plugin.png"" title=""plugins-upload-plugin.png"" width=""1024"" style=""display: block; margin-left: auto; margin-right: auto; width: 1024px;""></p><p>Next locate the zip file you downloaded of the Leadin plugin by clicking <strong>Choose File</strong>.</p><p><img src=""http://cdn2.hubspot.net/hubfs/324680/Knowledge_Base_Images/wordpress_plugin/plugins-choose-file.png"" alt=""plugins-choose-file.png"" title=""plugins-choose-file.png"" width=""1024"" style=""width: 1024px; display: block; margin-left: auto; margin-right: auto;""></p><p>This will prompt a pop-up box to open where you can search your computer for the file. Once you find the file, click the zip file and then click <strong>Open</strong>.</p><p>Now you'll see the selected file in WordPress. Click the <strong>Install Now</strong> button to begin installation of Leadin.</p><p><img src=""http://cdn2.hubspot.net/hubfs/324680/Knowledge_Base_Images/wordpress_plugin/plugins-install-now.png"" alt=""plugins-install-now.png"" title=""plugins-install-now.png"" width=""1024"" style=""width: 1024px; display: block; margin-left: auto; margin-right: auto;""></p><p>Once the install of the Leadin plugin is initiated, you'll be redirected to an install screen that should show you the steps taken to unpack and install the plugin. Once finished, click <strong>Activate Plugin</strong> to continue.</p><p><img src=""http://cdn2.hubspot.net/hubfs/324680/Knowledge_Base_Images/wordpress_plugin/plugins-activate-plugin.png"" alt=""plugins-activate-plugin.png"" title=""plugins-activate-plugin.png"" width=""1024"" style=""width: 1024px; display: block; margin-left: auto; margin-right: auto;""></p><p>Now you've successfully installed and activated Leadin! You should see Leadin appear in your side menu in WordPress, click here to get started.</p><p><img src=""http://cdn2.hubspot.net/hubfs/324680/Knowledge_Base_Images/wordpress_plugin/plugins-get-started.png"" alt=""plugins-get-started.png"" title=""plugins-get-started.png"" width=""1024"" style=""width: 1024px; display: block; margin-left: auto; margin-right: auto;"" data-constrained=""true""></p>","In your web browser, navigate to leadin.hubspot.com/get-started. Fill out the form and a download of the Leadin WordPress plugin should automatically begin. If this doesn't happen automatically, choose the ""Click here"" link to force the download.",3701236510,"https://app.hubspot.com/content/324680/edit-beta/3701236510"
"How do I receive email notifications from Leadin?","knowledge/how-do-i-receive-email-notifications-from-leadin","<p><span>To enable/edit email notifications for new submissions on your lead flows, click <strong>Lead Flows</strong> in the navigation and then <strong>Settings</strong> in the top-right.</span></p><!--more--><p><span><img src=""http://cdn2.hubspot.net/hubfs/324680/Knowledge_Base_Images/flows/lead-flows-settings.png"" alt=""lead-flows-settings.png"" width=""640"" style=""display: block; margin-left: auto; margin-right: auto; width: 640px;"">From here, you'll find <strong>Email Notifications</strong> and <strong>Email Sync</strong>. In <strong>Email Notifications</strong> you can add, edit and remove any addresses needed.</span></p><p><span><img src=""http://cdn2.hubspot.net/hubfs/324680/Knowledge_Base_Images/flows/lead-flows-notifications.png"" alt=""lead-flows-notifications.png"" width=""640"" style=""width: 640px; display: block; margin-left: auto; margin-right: auto;""></span></p><p><span>To enable/edit email notifications for new submissions on your collected forms, click</span><strong>&nbsp;Collected Forms</strong><span>&nbsp;in the navigation and then </span><strong>Settings</strong><span> in the top-right.</span></p><p><span><img src=""http://cdn2.hubspot.net/hubfs/324680/Knowledge_Base_Images/form_capture/collected-forms-settings.png"" alt=""collected-forms-settings.png"" width=""640"" style=""width: 640px; display: block; margin-left: auto; margin-right: auto;""></span></p><p><span>From here, you'll find </span><strong>Email Notifications</strong><span> and </span><strong>Email Sync</strong><span>. In </span><strong>Email Notifications</strong><span> you can add, edit and remove any addresses needed.</span></p><p><span><img src=""http://cdn2.hubspot.net/hubfs/324680/Knowledge_Base_Images/form_capture/collected-forms-notifications.png"" alt=""collected-forms-notifications.png"" width=""640"" style=""width: 640px; display: block; margin-left: auto; margin-right: auto;""></span></p><p>To disable email notifications, remove all emails from the settings and click <strong>Save Changes</strong> at the bottom.</p><p><strong><em>Not seeing email notifications from Leadin? Be sure to check your spam folder.</em></strong></p>","To enable email notifications for form submissions, just add your email address under Email Notifications in Leadin settings and click Save Changes at the bottom.",3506203564,"https://app.hubspot.com/content/324680/edit-beta/3506203564"
"How to use Leadin with Fast Secure Contact Form","knowledge/how-to-use-leadin-with-fast-secure-contact-form","<p>If you are using <a href=""https://wordpress.org/plugins/si-contact-form/"">Fast Secure Contact Form</a> and it's not working with Leadin, it's probably because the ""Enable to prevent double click on submit button"" option is toggled on in the form settings. Here's what that setting does in Fast Secure Contact Form:</p><!--more--><p><em>""This setting disables the Submit button after click, to prevent double click on button. Also prevents going back and submit the form again. Note: this setting is ignored if the ""Are you sure?"" popup for the submit button is enabled, or when you have filled in the Submit button input attributes setting with a ""onclick"" attribute.""</em></p><p>The more geeky explanation is that this option adds an ""onclick"" Javascript event to the form submission, causing the Fast Secure Contact Form plugin to bypass the existing HTML submission logic and use it's own Javascript code to submit the form. This means Leadin can't hook into the submission event and misses the form&nbsp;submissions.</p><p>Luckily there's an easy fix for this which allows&nbsp;Leadin to capture submissions correctly.</p><p>Log into your WordPress Dashboard and click <strong>Plugins </strong>then&nbsp;<strong>FS Contact Form</strong>.</p><p><img src=""http://cdn2.hubspot.net/hubfs/324680/Knowledge_Base_Images/form_capture/fscf-1.png"" alt=""fscf-1.png"" title=""fscf-1.png"" width=""1024"" style=""width: 1024px; display: block; margin-left: auto; margin-right: auto;""></p><p>Choose the form you want to edit from the list of options in the <strong>Select a Form</strong> drop down.</p><p><img src=""http://cdn2.hubspot.net/hubfs/324680/Knowledge_Base_Images/form_capture/fscf-2.png"" alt=""fscf-2.png"" title=""fscf-2.png"" width=""1024"" style=""width: 1024px; display: block; margin-left: auto; margin-right: auto;""></p><p>Click the <strong>Advanced </strong>tab.</p><p><img src=""http://cdn2.hubspot.net/hubfs/324680/Knowledge_Base_Images/form_capture/fscf-3.png"" alt=""fscf-3.png"" title=""fscf-3.png"" width=""1024"" style=""width: 1024px; display: block; margin-left: auto; margin-right: auto;""></p><p>Scroll down to the <strong>Advanced Form Settings</strong> section and uncheck the <strong>Enable to prevent double click on submit button </strong>checkbox then click <strong>Save Changes</strong>.</p><p><img src=""http://cdn2.hubspot.net/hubfs/324680/Knowledge_Base_Images/form_capture/fscf-4.png"" alt=""fscf-4.png"" title=""fscf-4.png"" width=""1024"" style=""width: 1024px; display: block; margin-left: auto; margin-right: auto;""></p><p>Leadin should now be able to listen for, and collect submissions on your&nbsp;Fast Secure Contact Form now.</p>","If you are using Fast Secure Contact Form and it's not working with Leadin, it's probably because the ""Enable to prevent double click on submit button"" option is toggled on in the form settings. Here's what that setting does in Fast Secure Contact Form.",3541341126,"https://app.hubspot.com/content/324680/edit-beta/3541341126"
"How to add CSS selectors to Contact Form 7 forms","knowledge/how-to-add-css-selectors-to-contact-form-7-forms","<p>You can add any id and class to a form by adding the <strong>html_id</strong> and <strong>html_class</strong> into a <code>[contact-form-7]</code> shortcode.</p><!--more--><code>[contact-form-7 id=""1234"" title=""Contact form 1"" html_id=""contact-form-1234"" html_class=""form contact-form""]</code>","You can add any id and class to a form by adding the html_id and html_class into a [contact-form-7] shortcode.",3506203454,"https://app.hubspot.com/content/324680/edit-beta/3506203454"
"How do I delete a Contact?","knowledge/how-do-i-delete-a-contact","<ol><li>Navigate to<strong>&nbsp;Contacts </strong>in Leadin</li><li>Search for the contact you want to delete (search by email address or first and last name)</li><li>Open the contact</li><li>Click on the drop-down menu beside the Contact's name/email and click <strong>Delete Contact</strong></li></ol><p><img src=""http://cdn2.hubspot.net/hubfs/324680/Knowledge_Base_Images/contacts/delete-contact.png"" alt=""delete-contact.png"" title=""delete-contact.png"" width=""1024"" style=""width: 1024px; display: block; margin-left: auto; margin-right: auto;"" data-constrained=""true""></p><p><strong>IMPORTANT</strong>: This action is not reversible. If you delete a contact and re-add them, their timeline of activity will not be restored.</p>","Navigate to Leadin > Contacts, search for the contact you want to delete (search by email address or first and last name), open the contact and click on the drop-down menu beside the Contact's name/email and click 'Delete Contact'.",3506203439,"https://app.hubspot.com/content/324680/edit-beta/3506203439"
