post_body,id
"<p>By default, all HubSpot contacts <strong>except those with a Lifecycle Stage of Subscriber</strong> will sync to Salesforce. However, if you create an <a href=""http://knowledge.hubspot.com/salesforce-integration-user-guide/how-to-set-up-your-salesforce-inclusion-list""><strong>inclusion list</strong></a> in HubSpot, all default behavior will be overridden and only contacts in your inclusion list will sync from HubSpot to Salesforce.</p><!--more--><p><strong>Related articles:</strong></p><ul><li> <a href=""http://help.hubspot.com/articles/KCS_Article/What-is-Lifecycle-Stage"">What is Lifecycle Stage?</a></li><li> <a href=""http://help.hubspot.com/articles/KCS_Article/How-can-I-limit-which-contacts-show-up-in-Salesforce"">How can I limit which contacts show up in Salesforce?</a></li></ul>",3320850034
"<p>Salesforce inclusion lists must be <a href=""http://help.hubspot.com/articles/KCS_Article/What-is-the-difference-between-a-smart-list-and-a-static-list"">smart lists</a>, which means that contacts cannot be manually added to the list. Smart lists are based on criteria, so contacts must meet the criteria to qualify for the list. See <a href=""http://knowledge.hubspot.com/contacts-user-guide/how-to-create-a-smart-list"">this article </a>for help adjusting your Salesforce inclusion list criteria in order to include the correct contacts.</p><!--more--><p><strong>Related articles:</strong></p><ul><li> <a href=""http://help.hubspot.com/articles/KCS_Article/How-can-I-limit-which-contacts-show-up-in-Salesforce"">How can I limit which contacts show up in Salesforce?</a></li><li> <a href=""http://help.hubspot.com/articles/KCS_Article/How-do-I-add-and-remove-contacts-from-lists"">How do I add and remove contacts from lists?</a></li></ul>",3320883279
"<p>In order to create successful <strong>Companies Reports</strong>, verify the following settings for HubSpot and Salesforce.</p><!--more--><ul><li> Company sync is enabled <ul><li> Navigate to <strong>Contacts</strong> &gt; <strong>Contacts Settings</strong> &gt;<strong> Salesforce Connector</strong> &gt; <strong>Settings</strong>.</li><li> Under '<strong>Account Sync</strong>', verify that the dropdown is set to '<em>Sync Accounts</em>'.</li><li> If you have not yet enabled Account sync, <a href=""http://help.hubspot.com/articles/KCS_Article/How-do-I-sync-Salesforce-accounts"">learn more </a>about this settings.</li></ul> </li><li> Company properties are correctly mapped <ul><li> Navigate to <strong>Contacts </strong>&gt; <strong>Contacts Settings </strong>&gt; <strong>Salesforce Connector</strong> &gt; <strong>Company Field Mappings</strong>.</li><li> Confirm that any properties that you wish to report on are correctly mapped between HubSpot and Salesforce.</li></ul> </li></ul>",3320886409
"<p>As highlighted below, when trying to save an email one may see an error noted as <i><b>error parsing html style information</b></i>.</p><!--more--><figure><img alt=""User-added image"" src=""http://cdn2.hubspot.net/hub/181288/file-1990365776-png/Public_KCS_Images/error-parsing-html-style-information-Email-Tool.png""></img><figcaption>User-added image</figcaption></figure><p>Such error is caused from either content not coded appropriately, or extraneous code that was added to the email which is does not bode well with the content and/or isn't formatted appropriately. Now, in order to review the body of the email in a coded format you will have to make use of the Source Code icon as highlighted below.</p><ul><li>Navigate to <b>Content &gt; Email</b>, locate the email in question and access it for editing. </li><li>Scroll down to the <i>Main Email Body</i> module, and click on the <b>Source Code</b> icon - Doing so will allow you to review the email's content in a coded format. </li></ul><figure><img alt=""User-added image"" src=""http://cdn2.hubspot.net/hub/181288/file-1986933333-png/Public_KCS_Images/Email-Editor-Souce-Code.png""></img><figcaption>Review the code in order to determine which aspect(s) are not formatted correctly and edit as necessary.</figcaption></figure><ul><li>When ready, click on <b>Done</b> followed by <b>Save</b>. </li></ul><p>Please be sure to also review any other Rich Text modules your email contains at the Email Editor level (as exemplified above) or <a href=""http://help.hubspot.com/articles/KCS_Article/Email/Where-can-I-edit-my-email-templates"">Template level</a>. If the error persists, please contact our <a href=""http://help.hubspot.com/support"">Support Team</a> for further assistance. </p>",3320927184
"<p><strong>Rank </strong>is an approximation of your website's position for a particular search term in a search engines' results pages. The lower the rank, the easier your website is to find in search results for that keyword.</p><!--more--><p><strong>Please note: </strong>search engines may factor <strong>personalization </strong>and <strong>localization</strong> into their results, which can influence ranking on a search by search basis.</p><p><strong>Related articles:</strong></p><ul><li><a href=""http://knowledge.hubspot.com/keyword-user-guide/understanding-keywords?__hstc=20964263.7298848f39b63817bd0ed7ac8a6befcc.1442430697455.1443100454309.1443109381224.7&amp;__hssc=20964263.115.1443109381224&amp;__hsfp=2217202602"" target=""_blank"">Understanding Keywords</a></li><li><a href=""http://knowledge.hubspot.com/keyword-user-guide/how-to-use-the-keywords-dashboard?__hstc=20964263.7298848f39b63817bd0ed7ac8a6befcc.1442430697455.1443100454309.1443109381224.7&amp;__hssc=20964263.115.1443109381224&amp;__hsfp=2217202602"" target=""_blank"">How to use the Keywords dashboard</a></li><li><a href=""http://help.hubspot.com/articles/KCS_Article/Reports/Why-did-a-keywords-rank-suddenly-drop?__hstc=20964263.7298848f39b63817bd0ed7ac8a6befcc.1442430697455.1443100454309.1443109381224.7&amp;__hssc=20964263.115.1443109381224&amp;__hsfp=2217202602"" target=""_blank"">Why did a keyword's rank suddenly drop?</a></li></ul>",3322874144
"<ul><li> If the <strong>contact property value is blank</strong> for the contact you are testing personalization for, the default value for that contact property will be displayed instead.</li><li> If in addition to the above you <strong>do not have a <a href=""http://help.hubspot.com/articles/KCS_Article/How-do-I-create-default-values-for-my-email-personalization-tokens"">default value</a> set</strong>, CONTACT.PROPERTYNAME will be displayed instead in the test email/preview, and no value or blank space will be displayed in the live email send.</li></ul><p>Related Articles : <a href=""http://help.hubspot.com/articles/KCS_Article/how-do-i-preview-email-personalization"">How do I preview email personalization?</a>, <a href=""http://help.hubspot.com/articles/KCS_Article/How-do-I-create-default-values-for-my-email-personalization-tokens"">How do I create default values for my email personalization tokens?</a> </p>",3322899249
"<p><strong>Conversion Assists</strong> has been replaced with the <strong>Attribution Report</strong> for all <em>Professional </em>and <em>Enterprise </em>customers.</p><!--more--><p>This new report is available under <strong>Reports </strong>&gt; <strong>Reports Home</strong> &gt; <strong>Create a New Report</strong> &gt; '<strong>Attribution Report</strong>'. Follow a <a href=""http://help.hubspot.com/articles/KCS_Article/How-do-I-create-an-Attribution-Report"">step by step guide</a> for creating an <strong>Attribution Report</strong>.</p><figure><img alt=""create_new_attribution_report"" src=""http://cdn2.hubspot.net/hub/217515/file-1445029832-png/KCS_images/create_new_attribution_report.png""></img></figure>",3322908909
"<p><strong>HubSpot does not include out of the box functionality to edit the form validation message.</strong> It is possible to accomplish this type of customization by using <a href=""http://help.hubspot.com/articles/KCS_Article/Where-can-I-find-the-embed-code-for-my-forms"">the form embed code</a> and modifying the JavaScript. You may also write a custom script to load on the page and replace the default validation message. Both of these options require the help of a developer who knows how to write JavaScript, and HubSpot Support cannot support this type of customization.</p><!--more--><p>Please see <a href=""http://developers.hubspot.com/docs/methods/forms/advanced_form_options"">this resource</a> for more detailed information about customizing the form embed code.</p><p><strong>Related articles:</strong></p><ul><li> <a href=""http://help.hubspot.com/articles/KCS_Article/How-do-I-customize-my-form-s-JavaScript-and-HTML"">How do I customize my form's JavaScript and HTML?</a></li><li> <a href=""http://help.hubspot.com/articles/KCS_Article/Does-HubSpot-have-the-ability-to-add-field-validation-on-forms"">Does HubSpot have the ability to add field validation on forms?</a></li></ul>",3322958859
"<p><strong>Four smart lists are created </strong>within the lists application when a persona is created.</p><!--more--><ul><li> The default naming convention for these lists is &quot;[Persona Name] Persona - [Lifecycle Stage]&quot; </li><li> Therefore if you create a persona called Marketing Mary, the four lists would be: <ul><li> Marketing Mary Persona - Customers</li><li> Marketing Mary Persona - Leads</li><li> Marketing Mary Persona - MQLs</li><li> Marketing Mary Persona - All Contacts</li></ul> </li><li> These lists are created in order to highlight the number of contacts in various lifecycle stages in each persona. </li><li> The lists are <strong>not editable and cannot be deleted</strong>. <ul><li> You can <a href=""http://help.hubspot.com/articles/KCS_Article/How-do-I-create-a-folder-for-my-lists"">create a new folder</a> in your lists tool and <a href=""http://help.hubspot.com/articles/KCS_Article/Can-I-organize-lists-into-folders"">add all the persona lists to this folder</a> if you find they take up too much space on the List Dashboard. </li></ul> </li></ul>",3322958914
"<p>Some possible reasons for the error &quot;<strong>Your email was sent but no contacts were included</strong>&quot; :</p><!--more--><ul><li> <strong>Contacts were removed from the recipient list</strong> (ie. Contacts were removed manually, or smart list criteria was modified resulting in contacts being removed from the list.)</li><li> <strong>Identical recipient and exclusion lists</strong></li><li> <strong>All contacts on recipient list are ineligible</strong></li></ul><p>If you are experiencing a different issue than the above please contact <a href=""http://help.hubspot.com/support""><strong>HubSpot Support</strong>.</a> </p>",3322959264
